seed,swept_param,swept_value,total,category
SD,ss,40.51020408163265,7,SD
SD,ss,41.734693877551024,7,SD
SD,ss,42.95918367346939,7,SD
SD,ss,44.183673469387756,7,SD
SD,ss,45.40816326530612,7,SD
SD,ss,46.63265306122449,7,SD
SD,ss,47.85714285714286,7,SD
SD,ss,49.08163265306123,7,SD
SD,ss,50.30612244897959,8,SD
SD,ss,51.53061224489796,8,SD
SD,ss,52.755102040816325,8,SD
SD,ss,53.9795918367347,8,SD
SD,ss,55.204081632653065,8,SD
SD,ss,56.42857142857143,8,SD
SD,ss,57.6530612244898,8,SD
SD,ss,58.87755102040816,8,SD
SD,ss,60.10204081632653,8,SD
SD,ss,61.3265306122449,8,SD
SD,ss,62.55102040816327,8,SD
SD,ss,63.775510204081634,8,SD
SD,ss,65.0,8,SD
SD,ll_l1s1,5.0,11,SD
SD,ll_l1s1,6.63265306122449,11,SD
SD,ll_l1s1,8.26530612244898,11,SD
SD,ll_l1s1,9.89795918367347,11,SD
SD,ll_l1s1,11.53061224489796,11,SD
SD,ll_l1s1,13.16326530612245,11,SD
SD,ll_l1s1,14.795918367346939,11,SD
SD,ll_l1s1,16.42857142857143,8,SD
SD,ll_l1s1,18.06122448979592,8,SD
SD,ll_l1s1,19.693877551020407,8,SD
SD,ll_l1s1,21.3265306122449,8,SD
SD,ll_l1s1,22.95918367346939,8,SD
SD,ll_l1s1,24.591836734693878,9,SD
SD,ll_l1s1,26.224489795918366,9,SD
SD,ll_l1s1,27.857142857142858,9,SD
SD,ll_l1s1,29.48979591836735,9,SD
SD,ll_l1s1,31.122448979591837,10,SD
SD,ll_l1s1,32.755102040816325,10,SD
SD,ll_l1s1,34.38775510204081,10,SD
SD,ll_l1s1,36.02040816326531,10,SD
SD,ll_l1s1,37.6530612244898,10,SD
SD,ll_l1s1,39.285714285714285,10,SD
SD,ll_l1s1,40.91836734693878,10,SD
SD,ll_l1s1,42.55102040816327,9,SD
SD,ll_l1s1,44.183673469387756,9,SD
SD,ll_l1s1,45.816326530612244,9,SD
SD,ll_l1s1,47.44897959183673,9,SD
SD,ll_l1s1,49.08163265306123,9,SD
SD,ll_l1s1,50.714285714285715,9,SD
SD,ll_l1s1,52.3469387755102,7,SD
SD,ll_l1s1,53.9795918367347,7,SD
SD,ll_l1s1,55.61224489795919,7,SD
SD,ll_l1s1,57.244897959183675,7,SD
SD,ll_l1s1,58.87755102040816,7,SD
SD,ll_l1s1,60.51020408163265,7,SD
SD,ll_l1s1,62.142857142857146,7,SD
SD,ll_l1s1,63.775510204081634,7,SD
SD,ll_l1s1,65.40816326530611,7,SD
SD,ll_l1s1,67.04081632653062,7,SD
SD,ll_l1s1,68.6734693877551,7,SD
SD,ll_l1s1,70.3061224489796,7,SD
SD,ll_l1s1,71.93877551020408,7,SD
SD,ll_l1s1,73.57142857142857,7,SD
SD,ll_l1s1,75.20408163265306,7,SD
SD,ll_l1s1,76.83673469387756,7,SD
SD,ll_l1s1,78.46938775510205,10,SD
SD,ll_l1s1,80.10204081632654,10,SD
SD,ll_l1s1,81.73469387755102,10,SD
SD,ll_l1s1,83.36734693877551,10,SD
SD,ll_l1s1,85.0,10,SD
SD,ll_l4s1,0.0,10,SD
SD,ll_l4s1,1.4285714285714286,10,SD
SD,ll_l4s1,2.857142857142857,10,SD
SD,ll_l4s1,4.285714285714286,10,SD
SD,ll_l4s1,5.714285714285714,10,SD
SD,ll_l4s1,7.142857142857143,10,SD
SD,ll_l4s1,8.571428571428571,10,SD
SD,ll_l4s1,10.0,10,SD
SD,ll_l4s1,11.428571428571429,10,SD
SD,ll_l4s1,12.857142857142858,10,SD
SD,ll_l4s1,14.285714285714286,9,SD
SD,ll_l4s1,15.714285714285715,9,SD
SD,ll_l4s1,17.142857142857142,9,SD
SD,ll_l4s1,18.571428571428573,8,SD
SD,ll_l4s1,20.0,8,SD
SD,ll_l4s1,21.42857142857143,8,SD
SD,ll_l4s1,22.857142857142858,8,SD
SD,ll_l4s1,24.285714285714285,8,SD
SD,ll_l4s1,25.714285714285715,8,SD
SD,ll_l4s1,27.142857142857142,8,SD
SD,ll_l4s1,28.571428571428573,11,SD
SD,ll_l4s1,30.0,11,SD
SD,ll_l4s1,31.42857142857143,11,SD
SD,ll_l4s1,32.85714285714286,11,SD
SD,ll_l4s1,34.285714285714285,11,SD
SD,ll_l4s1,35.714285714285715,11,SD
SD,ll_l4s1,37.142857142857146,11,SD
SD,ll_l4s1,38.57142857142857,11,SD
SD,ll_l4s1,40.0,11,SD
SD,ll_l4s1,41.42857142857143,11,SD
SD,ll_l4s1,42.85714285714286,11,SD
SD,ll_l4s1,44.285714285714285,11,SD
SD,ll_l4s1,45.714285714285715,11,SD
SD,ll_l4s1,47.142857142857146,11,SD
SD,ll_l4s1,48.57142857142857,11,SD
SD,ll_l4s1,50.0,11,SD
SD,ll_l4s1,51.42857142857143,11,SD
SD,ll_l4s1,52.85714285714286,11,SD
SD,ll_l4s1,54.285714285714285,11,SD
SD,ll_l4s1,55.714285714285715,11,SD
SD,ll_l4s1,57.142857142857146,11,SD
SD,ll_l4s1,58.57142857142857,11,SD
SD,ll_l4s1,60.0,11,SD
SD,ll_l4s1,61.42857142857143,11,SD
SD,ll_l4s1,62.85714285714286,11,SD
